Alpha, Beta, Density, Flux
0.15,0.55,0.0895975,0.0824525
0.15,0.55,0.0767925,0.07279
0.15,0.55,0.07683,0.072395
0.15,0.55,0.0752775,0.0698175
0.15,0.6,0.0702775,0.0672875
0.15,0.6,0.0695325,0.0664475
0.15,0.6,0.085405,0.077885
0.15,0.6,0.072955,0.0702775
0.15,0.6,0.0780425,0.0739875
0.15,0.6,0.0786,0.0733725
0.15,0.6,0.0882475,0.07919
0.15,0.6,0.0915475,0.08305
0.15,0.6,0.08571,0.0803075
0.15,0.6,0.0775825,0.0747125
0.15,0.65,0.083595,0.0791325
0.15,0.65,0.08033,0.074605
0.15,0.65,0.07453,0.07157
0.15,0.65,0.0762975,0.0729125
0.15,0.65,0.079815,0.0769775
0.15,0.65,0.0791875,0.0729725
0.15,0.65,0.0834425,0.07815
0.15,0.65,0.0815525,0.0775325
0.15,0.65,0.08532,0.0796475
0.15,0.65,0.0739225,0.07129
0.15,0.7,0.0749775,0.071605
0.15,0.7,0.0754575,0.0715725
0.15,0.7,0.0780175,0.0744225
0.15,0.7,0.0721625,0.070475
0.15,0.7,0.0811625,0.07588
0.15,0.7,0.0743975,0.0714025
0.15,0.7,0.0810125,0.075515
0.15,0.7,0.0810125,0.0769875
0.15,0.7,0.07674,0.0714
0.15,0.7,0.0815725,0.0779125
0.15,0.75,0.078335,0.0745825
0.15,0.75,0.07899,0.0760175
0.15,0.75,0.0748775,0.0717775
0.15,0.75,0.0751825,0.07256
0.15,0.75,0.11218,0.09048
0.15,0.75,0.0811025,0.07651
0.15,0.75,0.07819,0.07544
0.15,0.75,0.07288,0.0706075
0.15,0.75,0.0813025,0.0767
0.15,0.75,0.0747175,0.0716275
0.15,0.8,0.0821575,0.0767975
0.15,0.8,0.07261,0.069705
0.15,0.8,0.09059,0.0842725
0.15,0.8,0.0759025,0.07201
0.15,0.8,0.07562,0.0706725
0.15,0.8,0.077315,0.0733525
0.15,0.8,0.08305,0.0783825
0.15,0.8,0.08322,0.0789725
0.15,0.8,0.0795375,0.0741025
